ID	abstractauthor keywordsindex keywords 
1	measure quantify connections feature environment impact interest variety field survey limit source difficulty measure perception region resolutions work machine learn measure people region learn model train millions imagery use perceptions street view image model accuracy rate indicators depress bore model help distribution perception region series conduct elements perceptions categories segment street view image indicators result researchers planners step interactions sentiments semantics b.v.built environment deep learn semantics intelligence semantics environment perception learn model machine categories resolution elements impact imagery machine learn perception resolution area plan 
2	consider case analyse forest owners emotions ownership relationship use plan recreation biodiversity land incorporate elaborate framework dimension property feel ownership analysis ownership context conduct forest owners land areas result role contract responsibilities property relationship ownership custom access nature acceptance use forestland owners relationships plan illustrate dimension ownership owner corps contexts dimension ownership contribute enhance sentiments ownership express ambivalence lack conviction public plan point resistance interest owners stewards custodians forestland article end recommendations policy plan interest ownership ownership forestland property interest sweden 
3	memories europe rise decades methodology memory theories politics memory memory formation nature memory shape memory implications memories memory creation people connections basis memory transmission scene stalinist principles electrification romania yugoslavia construction hydroelectric plant europe iron gate danube flood settlements way project destruction property heritage memories attachment shape memories generation foundation people market economy state home become memory transmission generations post-memories events implications creation memories memory formation remembrance communism root events ground claim justice politics tensions counter-memories memories action memories people achievements nature memories information practice view article author opinion society ibg society institute geographers memory romania ssn 
4	management remediation contaminate environments residents risk communication tool guidelines attention stress concern residents awareness localise contamination impact contamination engage communities focus absence factor resident worry neighbourhood contamination address survey adult residents neighbourhoods sit australia order regression use factor influence residents worry age income residents worry contaminant perception neighbourhood associate degrees type contaminant resident worry residents worry solvents type contaminants resident worry access information development specific risk reduction strategies distribution worry populations elsevier land groundwater engagement policy practice residents groundwater pollution impurities base systems regression analysis remediation contaminate environment contaminate land survey engagement distributions population residents contamination asbestos chlorine grind water hydrocarbon metal groundwater pollution neighborhood prediction soil pollution adult age age article community community participation framework contamination demography stress factor management policy gender income knowledge language neighborhood perception pollution prediction priority journal area determinants health waste australia 
5	plan forums people change use sustainability provide input formulation plan interventions integration elements work model confusions plan process confusions elements creation framework plan elements framework plan article synthesis shortcomings inherent medium context plan advance plan foundation future theories author sustainability plan synthesis framework 
6	climate change trajectory increase frequency intensity weather events influence community food security influence capital community responses impact community food security storm irene bond bridge capital influence community responses communities level capital action stabilize community food security event level capital community response bridge capital community actor ewe communities level bond and/or bridge capital community response community food security ewe community level community capital ewe connection community access use capital help community food insecurity community level bond bridge capital ewe areas capital help capital increase resiliency expand adaptation capacity promote use development capital build resiliency adaptation promote growth community capital bond bridge communities change food security capital community development capital 
7	offices productivity work environments perception office environment relation productivity work predictors outcomes offices government agency survey months respondents analyse regression model covariates predictors satisfaction aspect environment environment privacy communication personalization storage function office use number workspace workspaces time look workspace satisfaction environment privacy communication associations productivity work increase workspace associate productivity time search workspace productivity well-being predictors office use variance outcomes result office developers privacy need communication personalization workspace switch minimization work time look workspaces satisfaction office performance work environmentemployment engineer regression analysis time satisfaction office performance work environments labor productivity office location perception performance assessment use workplace 
8	whilst bloom phenomenon impact events impact societies date health impact community level work address call impact habs use framework ecosystem service impact disruptions opportunities environment opportunities enjoyment losses ways life identity realities residents cornwall area habs impact level health analysis whilst size limit point impact habs experience decisions shock safeguard management policies communities respond need impact ecosystem service well-beingalgae 
9	ecosystem service enjoyment identity play role contribution landscape well-being share network photos source information ecosystem service landscape photograph relationships landscape practice landscape landscape feature value term ecosystem service advance emerge challenge ecosystem service beauty landscape landscape feature ecosystem service synergies ecosystem service address challenge ecosystem service landscape feature provision sit europe greece spain switzerland perform content analysis photos panoramio platforms ecosystem service landscape feature ecosystem service relation recreation mountain areas recreation water body recreation heritage value landscape woodpastures feature infrastructures landscape relationship landscape diversity ecosystem service diversity wood-pastures shrubs sit comparison land cover result interest face increase trend photos ecosystem service elicitation comparison landscape value landscape ltdlandscape value benefit photos preferences generate content network landscape value benefit photos preference generate content ecosystems heritage ecosystem service esthetics plan perception photograph preference media structure europe 
10	outline pattern benefit jeddah saudi city residents methods case landscape typologies analysis saudi migrants benefit visit retreat lifestyles sociability health practice support dimension gender transnationality heritage displacement compare migration urbanisation narratives experience shape temporality memory geographies residents pattern use resident group society jeddah resource share multiculture landscape group ltd.migration attachment saudi greenspace wellbeinggreenspace population lifestyle population migration urbanization jeddah makkah saudi arabia arabia 
11	students geographies home student mobility insights advance home belong city photo-elicitation return students practice exchange students centre south focus ways students home belong host city insider knowledge gain practice capital practice implicate boundary-making process distinction illustrate photograph students home use scalar markers students boundaries focalise localise capital city debate im/mobility students immobility mobility travellers tourists claim insiders capital conclude consider students home distinction limit trade taylor francis capital distinction practice home student capital knowledge mobility student area 
12	motion language ridge claim reflect attention focus extension spatial layout entity motion alpine narratives experience move structure properties motion context describe extension motivation use motion range convey footprint motion event license taylor francis group llc ekaterina thora ross purves analysis motion mountaineer spaceattention focus analysis motion mountaineer extension spatial layout computer graphics 
13	advance marine sociologies zealand island nation history culture reputation deepwater oil production respond exploration use case collection methods culture communities economy oil extraction culture communities seascapes environment sea inform mean orientate identity politics marine literacy communities knowledge marine environment seafloor knowledge stories experience economy sacrifice privilege outline framework marine justice movement achievement limit trade taylor francis zealand coastal communities justice marine sociology oil exploration 
14	loss context disasters people home irrevocably change disasters people loss—loss elements aspects loss loss home infrastructure losses loss identity cohesion community health work academics world develop theories practice workers environment conduct saturday victoria loss context damage implications workers others disaster recovery need losses stress growth postdisaster period losses home infrastructure recovery efforts losses identity community belong losses disasters association workers.loss postdisaster work practice 
