	발행연월	록키 워드 
1	2011	
2	2011	
3	2011	
4	2011	정체성 공공 디자인 가이드라인 아이덴티티 공공 
5	2011	도시 마케팅 차원 경쟁 도입 아이덴티티 디자인 지자체 경영 전략 수단 위치 자리 그럼에도 불구하고 지자체 도시 상징 디자인 도입 역할 지자체 상징 디자인 지역 역사 사회 문화 성향 조건 상호작용 목적 도시 상징 디자인 현황 조사 기호학 이론 바탕 시각 언어 매개체 사이 의미 작용 기능 요인 분석 의미 작용 이론 기호 유형 분류 파악 지역 측면 역사 측면 문화 고유 측면 틀 설정 도시 상징 디자인 지역 아이덴티티 중심 역할 조사 유형 분석 향후 공동체 삶 문화 역사 정체성 반영 인식 독창 창의 도시 상징 디자인 개발 방향 제안 
6	2011	기념비 감각 홀로코스트 
7	2011	근대 이후 급속도 불어 사회 변화 서울 도시 구조 통합 팽창 변화 서울 관문 기능 서울역 흐름 증축 개축 과정 현재 서울역 개축 서울로 유입 유동 인구 최초 서울 얼굴 가치 반영 채 기능 필요 경제 논리 연 담화 매스 서울 역사 역사 성과 연결고리 가치 정체성 존재 실정 상황 코 레일 2009년 4월 이후 서울역 북부 선로 부지 활용 서울역 북부 역세권 개발 사업 추진 사업 향후 추진 예정 서울역 남부 역세권 개발 사업 기존 서울역 남 북 확장 사업 일부 향후 서울역 정체성 규정 규모 사업 서울역 중심 도시 구조 맥락 일신 역사 시점 본고 기능 경제 논리 경도 건축 맥락 사각 서사 방법론 개발 실제 수행 용역 작업 바탕 코 레일 삼우종합건축사사무소 발주 서울역 북부 역세권 개발 사업 스토리텔링 개발 용역 바탕 기술 한국 근현대사 배경 사람 이야기 서울역 특성 고려 서울역 북부 역세권 개발 사업 스토리텔링 개발 대상지 혼 개념 사용 혼 개념 토대 창조 지속 향유 가치 관련 본고 서울역 과거 현재 미래 가치 유기 연결 전체 중심 서사 창출 과정 전개 도출 중심 서사 세부 적용 보조 서사 세부 스토리텔링 개발 과정 제시 스토리텔링 스토리텔링 혼 서울역 인문 건축 
8	2011	부산 광복 역사 부산항 개항 처음 왜관 설치 일본 중국 무역 중심지 중계 지로 발전 광복 한국 전쟁 이후 급속 근대화 산업화 도시 진지 성찰 발전 역사 건축물 대부분 파괴 시간 형성 고유 문화 상실 주변 백화점 대형 상가 인해 도심 상업 쇼핑 기능 담당 광복 경쟁력 상권 침체 경향 도심 재생 역사 회복 시민 공공 경제 활력 문화 회복 열망 도시 활성 매력 조성하 사업 목적 광복 시범 가로 개선 사업 이후 거리 상인 이용자 사용성 지속성 유지 관리 공공 디자인 사업 역사 우리나라 실정 부산 처음 시행 성공 사례 시범 사업 유지 관리 필요 공공 디자인 논문 사업 특성 개발 사례 집중 발표 유지 관리 사용성 사업 완료 변화 인지 개선 만족도 추출 기초 부족 도시 이미지 역사 고민 국내 지자체 추진위 원단 가로 경관 디자인 사업 우선순위 중요도 개선 효과 방향성 목표 효율 방향 결과 기초 도움 기대 
9	2011	활동 인구 증가 야간 시간 주목 서울 대표 경관 대상 야간 이미지 특성 분석 목적 관련 전문가 대상 서울 대표 경관 인지 순위 조사 주 야간 이미지 비율 요소 조사 중 야간 이미지 중심 인지 요소 유형 특성 도출 결과 인지 순위 조사 남산 인지도 분석 대표 경관 인지 순위 상위 -3 위 야간 이미지 인지 비율 특징 야간 이미지 요소 경관 시설물 환경 지각 기타로 구분 경관 특징 구분 요소 조망 랜드마크 형 활동 상징 인지 형 유형 조합 형태 야간 이미지 인지 특징 결과 기초 결과 보완 서울 야간 대표 경관 남산 한강 청계천 야간 경관 계획 관리 관점 제시 기대 야간 경관 서울 야간 이미지 유형 
10	2011	화장 시설 경관 이미지 경관 연출 자연 요소 상징 Natural Elements 
11	2011	시대 화두 스마트폰 인간 문화 매개 문화 인터페이스 관점 바라 내재 재매개 현상 고찰 재매개 이론 미디어 융합 매개 스마트폰 미디어 함의 파악 이론 문화 인터페이스 이론 부호화 개념 이론 공통 이론 문화 인터페이스 관점 스마트폰 재매개 화 현 다음 문화 인터페이스 스마트폰 사용자 개념 변화 변화 양상 시공간 미 시적 조정 다 의적 항시 연결 공적 의미 역할 변화 파악 스마트폰 사용자 환경 사이 형성 사용자 환경 상호작용 물리 사용자 행동 본질 규정 행위 매개 재매개 현상 암묵 상호작용 지속 명시 상호작용 자로 사용자 매개 사용자 재매개 특성 사용자 각종 정보 텍스트 재매개 스마트폰 텍스트 관리 송수신 텍스트 에이전트 재매개 텍스트 재매개 현상 결과 디자이너 기존 개념 사용자 개념 스마트폰 인터페이스 관점 제공 스마트폰 기반 콘텐츠 제작 방향성 제시 기대 
12	2011	학교 이 전적지 리노 베이 션 재생 공공 
