	발행연월	록키 워드 
1	1990	
2	1990	목적 유교 주의 관념 형성 주택 건축 내 제사 성소 사당 가묘 형태 언어 상징 의미 문화 관점 제기 조선 시대 특유 가족 관념 가족 성원 간 권력관계 구성원 영역 해석 범위 현존 조선 중기 후기 상류 주택 1900년대 이전 사당 건축 사례 대상 문헌 실지 답사 남한 지역 국한 구성 단계 다음 건축 일반 개념 관계 개념 확립 사당 설치 경위 시대 상황 사당 물리 특성 기능 특성 감정 평가 단계 사당 해석 결론 다음 사당 방향 본채 일치 남향 동 남향 본채 위치 방향 동 남향 동향 북 북 서향 순위 방향 선정 안채 관계 사당 수직 위계 중심 두뇌 혈 위치 성 안채 수평 중심 영역 밀접 관계 의미 풍수 의견 제사 환경 영역 중심 성 구조주의 관점 일치 조선 사당 중심성 위계 의존 점 지리 특성 시대인 수직 서열 의식 구조 사당 간수 칸 원칙 건축주 계급 간수 관계 정도 사용 문 존재 죽음 삶 이행 사당 기능 특성 조상 숭배 의식 상징 의미 혈족 통합 대 가족 행동 영역 포함 중국 접견 조상 중국 경우 보통 -5 대 조선 이전 한국 가계 기록 고조 도의 관행 조선 상복 제도 대 점 전통문화 유교 문화 서양 문화 가치 체계 대립 한국 숭조 관념 의식 사당 이외 형태 토착 성격 남은 과제 생각 
3	1990	논문 후반부 단독 주택 중 한옥 의장 요소 현대 주택 채 선정 조사 분석 현대 주택 의장 요소 지붕 처마 벽 체 창 호 문양 현관 담장 대문 테라스 분류 한옥 의장 수용 원인 풍토 요인 생활 관습 요인 민족 정서 요인 수용 방법 모사 방법 절충 방법 추상 방법 결론 한국 현대 시간 한국 현대 주택 개념 형태 의장 전통 수용 입면 한옥 의장 풍토 생활 관습 민족 정서 형태 현대 요구 계획 노력 공감대 보편 계속 
4	1993	논문 향교 조영규 범 총체 의도 작성 향교 조선 시대 행정 조직망 연계 일 읍 일교 원칙 전국 당시 최대 유교 문화 시설 남한 에마 개 교가 현존 논문 범위 지역 제주도 포함 남한 지역 시기 내용 향교 조영 의미 체계 건축 사상 배경 건축 배치 구조 유형 적 체계 건축 조형 특성 주가 시각 관점 조선 시대 관학 사회 역할 종교 규범 상징 조형 예술 표출 방법 건축 단선 유교 이념 사회 체제 결부 학제 간의 연계 중점 건축 성격 유교 기본 이념 건축 전반 작용 체계화 위계 질서 조형 면 치장 면 절제 반복 
5	1994	정자 평면 구조 대상 양식 관찰자 상경 추구 상 경관 체계 입지 해석 시도 열쇠 정자 시민 일경 정자 건축 입지 계획 요건 역사 정자 경과 관계 논 의 미 일차 파악 조사 대상 정자 해석 입지 정자 경관 지역 아이덴티티 조사 대상 정자 밀집 광주 담양 화순 지역 무등산 권역 정자 한정 결과 다음 설정 건축주 동시대인 입지 계획 표현 의지 설정 불문율 시문 규정 건축 배치 의미 정자 랠프 이론 실존 형태 근간 감정이입 대리 추구 실존 외부성 개념 근본 동기 정자 자아 실존 관찰자 모두 전달 체험 정자 입지 관망 대상 자체 추구 의미 방법 가치 자 아 지각 시간 시각 설정 방향 지향 무등산 을 선정 순위 선정 위계 자연 향 천적 외부성 자아 에 게로 하향 정자 합일 중심 해석 이상 요즈음 토지 개발 과정 발생 상실 정자 상실 의미 기념비 건축물 존재 현실 
6	1995	도시 구조 특징 토지 형태 역사 좌우 개발 부분과 전체 동시 균형 특징 안전 문제 목표 동시대 취급 목표 일시 완성 완결 안전 감각 안전 정도 수용 요구 각자 
7	1996	
8	1996	목적 현대 건축 감과 형태 감 상실 빛 개념 존재 가치 대 상실 기인 판단 빛 형태 존재 부여 자로 파악 자신 작품 표출 루이스 칸 의 건축 이론 작품 빛 형이상학 매개체 분석 가치 정립 빛 칸 이론 이해 정도 본질 측면 접근 점 빛 을 동일시 능동 태도 빛 인식 부각 작품 표출 빛 의미 존재 완결 가치 부여 궁극 수단 결론 칸 작품 표현 빛 건축 구성은 다음 가지 분류 위계 건물 중요도 의미 마다 특질 빛 표현 자연 연계 상징 근대 건축 추구 균질 중심성 상실 반론 평면 내 구심 최상 빛 유입 인간 중심 고유 회 복 방향성 칸 명암 부여 빛 유입 리듬감 시 지각 방향성 을 제시 존재 성격 의도 한정 일반 한정 벽 물질 존재 칸 성격 차별 빛 부여 한정 방법 사용 칸 빛 건축 건축 답 개념 파악 
9	1996	
10	1996	관심 증대 시작 고딕 건축 자체 건축 외부 파악 건축 가치 평가 점 고딕 건축 프랑스 고딕 건축 외부 슐츠 실존 입장 분석 결과 방향 통로 축 요소 영향 실존 외부 은 중심성 실존 
11	1996	
12	1997	
13	1997	정보화 사회 전환 건축 변화 사회 문화 측면 분석 고찰 21세기 정보화 사회 건축 문화 건축 고찰 등장 가상현실 가상공간 상 건축 제시 동안 사회 변화 앞으로 예측 고찰 결론 다음 앞으로 정보화 사회 도시 중앙 집중 형태 중앙 도시 형태 대도시 지역 사가 균형 형태 예상 글로벌 세계 건축 지역 지역주의 건축 혼재 도시 개성 강조 건축 모더니즘 도시 양식 강조 도시 특유 무시 경향 으 전통문화 인식 지역 특색 지역주의 건축 대두 환경 파괴 공해 문제점 부각 환경 인식 환경 건축 대두 환경 인식 노력 지속 논의 환경 고려 자연 조화 건축 보편 단계 가상 건축 실용 단계 건축 보조 수단 등장 가상공간 기존 실제 대체 보완 개념 자리 예상 
14	1997	조선 시대 종묘 문묘 가묘 삼 묘 건축 질서 건축 특성 규명 표출 상호 비교 의 목적 삼 묘 구성 유교 제의 물리 표상 가정 삼 묘 건축 비교표 작성 제례 행위 통 의식 왕통 확립 정치 공동체 종묘 학통 학 립 위 학문 공동체 문묘 통 확립 혈연 공동체 가묘 체계 삼 묘 건축 의 배경 시대 배경 삼 묘 구도 배치 좌향 구도 독립 영역 을 형성 건물 구성 중심 위계 구성 의장 세부 형식 성격 삼 묘 특성 
15	1998	
16	1998	
17	1998	
18	1998	
19	1999	
20	2000	
21	2000	
22	2000	
23	2000	
24	2000	과학 기술 사고방식 집착 국제주의 상업 소비 주의 만연 야기 현대 도시 건축 실패 도시 형태 구조 위기의식 전형 형태론 패러다임 건축 유형학 도시 형태학 해석 맥락 동시 통시 이론 접근 시도 간의 연관 도시 건축 의미 표현 본질 기본 수단 건축 유형론 역사 18세기 이론가 퀸시 개념 이론 건축 측면 도시 해석 시도 바탕 시대 문화 이론 변천 과정 시대 작품 해석 단계 건축 유형학 특성 대응 도시 형태 특성 고찰 건축물 집합체 지역 대표 도시 형태학 문화 배경 연속 건축 유형학 관계 건축 유형학 도시 형태론 도시 형태론 건축 유형론 고찰 이론 관계 접근 현대 도시 건축 형태 혼란 해결 도시 형태 구조 맥락 이론 틀 이 유형 형태 변화 성립 
25	2000	
26	2001	크리스 토의 작업 사례 환경 디자인 연출 의미 형태 환경 디자인 연출 역할 구체 형식 측면 발생 환경 예술 디자인 영역 구분 크리스 토의 작품 사례 적용 연출 형식 환경 디자인 필요 방법 적용 크리스 토의 작업 가지 구분 환경 포장 환경 설치 환경 분할 이다 사용 연출 방식 연극 과정 참여 강조 동시 오브 활용 방식 정리 작업 환경 오브 연출 상황 연출 연출 구조 방식 환경 디자인 유효 미학 가치 평가 크리스 토의 작업 유추 연출 방식 환경 디자인 작업 과정 유효 생각 
27	2001	
28	2001	팔공산 지형 특성 반영 입지 가람 배치 풍수지리 특성 동화사 풍수지리 특성 해석 향후 동화사 토지 이용 건물 개축 진입로 개설 가람 변경 유지 참고 기초 자료 제공 생각 동화사 산 물 지세 풍수지리 조건 종교 확보 조건 봉황 관련 안온 지세 가람 배치 봉황 상징 시설물 누각 문 비 대나무 오동나무 동화사 중심 부각 사찰 을 청정 유지 진입로 복원 주차장 폐쇄 진입로 개설 방안 제안 
29	2001	
30	2001	마케팅 도시설계 대학로 로데오 거리 
31	2001	
32	2002	
33	2002	
34	2002	
35	2002	
36	2002	
37	2003	
38	2003	
39	2003	
40	2003	형성 요인 비교 
41	2003	
42	2003	
43	2004	환경 조형물 건축물 장식 이상 공공 미술 작품 가로 환경 디자인 향상 수단 중 하나라 시각 출발 환경 조형물 설치 밀접 관계 시각 대상 주변 환경 맥락 요소 파악 현장 조사의 대상지 강남 중심 업무 지역 규모 건축물 집중 테헤란로 삼성역 선릉역 사이 구간 가로변 위치 개 환경 조형물 조사 환경 조형물 가로 경관 상관관계 건축물 보행자 조형물 시점 분석 가로 경관 상관 해석 결과 환경 조형물 가로 경관 주변 영향 조형물 주변 확보 주변 결합 설치 사실 파악 환경 조형물 가로 경관 조절 요소 환경 디자인 수단 거시 맥락 위치 설치 방식 재료 접근 필요 
44	2004	
45	2004	세계 산업 구조 재편 간 경쟁 우리나라 포함 세계 지역 지역 개발 마케팅 의존 기존 논의 지역 고유 기반 마케팅 수행 주장 지역 마케팅 활용 현실 요소 도입 마케팅 성공 사례 맥락 기존 마케팅 관련 논의 검토 인위 형성 타진 미국 오레 곤 주 애 랜드 시와 잭슨빌 시 한국 경상남도 통영시 사례 지역 선정 인위 형성 과정 검증 
46	2004	
47	2004	
48	2004	
49	2004	
50	2004	지리 문해 력 습득 내용 구성 요소 지명 의미 지리 교육 의의 실제 제시 지명 요소 학습자 일상생활 밀접 관련성 기호 표상 체계 환경 인지 결과물 지역 특성 학습자 의사소통 수단 언어 결합 생성 기호 표상 지명 지역 환경 인간 사유 경험 융합 의미 집합체 지명 학습자 일상생활 판단 판단 토대 기존 교육과정 나열 지명 암기 학습자 일상생활 연결 맥락 지명 학습 제시 학습자 생활 지역 지리 문해 력 지리 교과 목표 달성 내용 요소 지명 제시 
51	2005	평생 학습 도시 사업 지역 사회 교육 자원 총체 동원 활용 지역 사회 주민 평생 학습 기회 확대 지역 사회 변화 발전 지향 사업 연구자 평생 학습 도시 사업 가지 유형 직업 능력 개발 산업 혁신 학습 공동체 평생 학습 도시 사례 조성 전략 비교 분석 가지 유형 평생 학습 도시 비교 분석 사업 추진 배경 사업 추진 체제 사업 학습 참여 촉진 방법 평생 교육 프로그램 운영 가지 준거 결과 유형 평생 학습 도시 사업 조성 전략 차이점 공통점 평생 학습 도시 조성 전략 차이 사업 추진 체제 참여 촉진 방법 약간 차이 차이 점 평생 학습 도시 사업 운영 평생 교육 프로그램 내용 사업 추진 배경 참여 촉진 방법 평생 학습 도시 조성 이론 일반 공통점 발견 
52	2005	
53	2005	
54	2005	
55	2005	
56	2005	
57	2005	
58	2005	
