ID	abstractauthor keywordsindex keywords 
1	high-density environment house appearance change house development board hdb use variety skyline facades block motifs dormers help estate residents identity precincts flats activities facilities courtyards walkways pavilions areas interaction way residents bond belong plan create identity pasir estate survey belong evident hdb view residents help bond locality plan efficiency bond house country high-rise house perception house enviornment singapore pasir ris 
2	popularity drive vehicles consequences notions upsurge communication systems culture mobility fantasy relationship regions outdoors use experience case drive culture part construction outback suburbs role renegotiation identity.four wheel drive vehicle iconography perception australia 
3	abstract people community memory community france france paris rue rosiers 
4	consideration identity knowledge shape play hebrew community dimona article focus hebrews map africa symbol divine geography map strategy foucault call subjugate knowledge convert idea action base participant-observation focus community members narratives observations hebrews resist racism identity culture hebrews identity resistance identity people identity hebrew people israel dimona 
5	abstract country perception belief construction brazil brasilia 
6	frontier-region theory consciousness 
7	home look constituency function regulate rule nature term destinations profane graveyard pilgrimage site school "home" plot destinations departures arrivals recruitment mode organization entail mobilization constituency mobilization supersession order organize coordinate time content ethnographer seek authority competence discourse order pilgrimage feature home fieldwork iran mediation constituency people competence authority argue share site construction rules.home concept nation state organisation iran 
8	police procedurals plot author use commission discovery resolution crime mysteries intrigue function locale plot element murder occur author give society commission discovery resolution murder score police procedurals devices novels description dialogue iconography attention detail development plot time plot reader appreciation novel number series relationship police 
9	abstract 
10	abstract article community health nurse home care ethics advocacy philosophy terminal care community health nurse ethics home care service humans advocacy philosophy terminal care 
11	science science speculations conclude relationship landscape characterize extremes geology distance commodity extraction visions relationship landscape conflict search science location members science association wrsa name lack title conference conclude science field trip landscape tourism nature end appeal expand science location perspective science association 
12	see concern delineate politics conduct range residents neighbourhood debate analysis attention area class residents image area whilst time desire diversity difference suggest account bound anything compare work class consider politics race class construction identities society institute geographers class difference capital analysis englishness globalisation perception politics identity newington 
13	refashion towns cities urbanism gain momentum proponents mean form community responsibility vision urbanization model century regressive nostalgia address ask advance change implications advocate body villages group urbanism usa detail origins tenets body alternatives attempt urbanist development emphasis group aesthetics notions community mix land use tenure process development issue plan process fund plausibility development options process degree innate relations conclude instigators group society preserve order complexity condition spon 
14	link time intersections imagination mind issue singapore look concepts history heritage argue imaginations focus concept biographies histories time record history way argue nostalgia return period memory materiality case inscription heritage elements sit state strategy version heritage part world conclude reflect salience use experience aspirations country heritage construction perception concept singapore 
15	respond shortage shelter preference form shelter homeless people oregon shelter homeless camp ahc residents home perceptions gauge mean value campers november participant observation survey form map photography campers environment community environment site conclude ahc home community perception home homelessness settlement concept homelessness perception oregon lane county 
16	lincolnshire county council areas shirley look guidance britain grow counties character 
17	role landscape horror genre history horror examination trend change horror time explanations trend offer horror stories genre associate landscape settings city horror fiction town suburban sub-types shift evolved.horror landscape role horror fiction landscape interpretation perception 
18	variety field geography work concern theme range domestication nature aesthetics tuan ideas way sport "fragments" project fleet allusions ideas thoughts affection composition life provide exemplification geography sport geography tuan 
19	discuss annihilation identity heritage fate cities war creation successor war stress identity economy efforts identity konigsberg motivations identity reversion heritage basis illustrate dissonance identity invert create expense identity prognosis destruction identity change identity federation kaliningrad 
20	illinois fertile route miles louis chicago decommission highway prairie state route illinois phase revival interest route agent define pass sense-of-place issue society interest revival potency illinois landscape aspects automobile highway influence life route example time line route inception account mean revival circumstance tourism route revive presentations session society follow value revival root discuss considerations planners preservation route selection bob waldmire art address illinois caption keith sculle issue photograph revival geography illinois route route 
21	muse elude fixations center phenomenon perception body medium map work experience store labyrinthine layer map perception denmark copenhagen 
