	발행연월	록키 워드 
1	2016	관광 스토리텔링 인식 관광객 만족 
2	2016	
3	2016	영등포 강남 상업 가로 
4	2016	호텔 디자인 마르셀 오브 환상 스토리텔링 
5	2016	
6	2016	조각 미니 멀리 즘 
7	2016	경복궁 청와대 측 자리 서촌 개발 규제 덕분 한옥 포함 저층 건물 골목길 동네 분위기 오랫동안 간직 서촌 골목 방문객 편안 마음 방문객 생각 호기심 골목 골목 생각 보물 서촌 도서관 도서관 보편 이동성 디지털 정보 제공 인간 접촉 사고 지식 제공 방문자 책꽂이 사이에서 책 책 사이에서 실 실 사이에서 능동 호기심 지식 체계 재구성 논문 서촌 가지 키워드 다양성 연속 일상 커뮤니티 분류 분석 서촌 도서관 연계 특징 극대 시너지 효과 도서관 디자인 방향 모색 기존 주택지 골목 모델링 방안 제시 봄 지역 정체성 지속 패러다임 제안 
8	2016	소백산 죽령 지역 문화 생태 융합 전통 유산 
9	2016	리노 베이 션 
10	2016	자녀 전면 개방 정책 발표 자녀 정책 역사 뒤안 인해 80년대 90년대 출생 세대 오늘날 산아 제한 문제 현재 존재 글 산아 제한 세대 성비 불균형 문제 원류 천착 개인 출산 관점 정책 수립 과정 재현 분석 글 분석 대상 통상 시기 구분 법 산아 제한 정책 시행 균질 시기 국가 개인 생육 충돌 조정 시기 특징 정부 농촌 저항 무마 실시 반 정책 집약 딸 경우 출산 허용 반 정책 농촌 가부장 용인 정책 여성 사회주의 유제 도시 농촌 원화 차별 호적 극복 대상 농촌 사회 봉건 습속 본질 경제 사회 문제 수용 자신 신체 낙태 임신 반복 방식 대응 개구리 서사 여성 장 소성 젠더 질서 억압 간과 여성 남편 아들 형상 정책 실시 민간 적응 책 여아 출산 신고 거짓 신고 방식 오늘날 명 무호 적자 양산 무호 적자 차별 무호 적자 세대 세대 세습 무호 적자 하층 여성 몸 차별 재생산 계획 생육 90년대 농촌 여성 반 정책 낙태 
11	2016	고향 아일랜드 풍요 해양 환경 성장 월트 휘트먼 바다 섬 영감 시 창출 출간 시집 풀잎 바다 의 중심 주제 사용 해양 풍경 풀잎 미국 원주민 사용 아일랜드 원래 이름 동시 일평생 을 매료 녹 불가분 연계 은 시와 산문 녹 지리 범위 기간 거주 브루클린 점 자신 아일랜드 일부 소년 성인 브루클린 턱 포인트 지역 있다 말 사실 단적 입증 자신 녹 동일시 은 섬 시절 일 처음 끝 풀잎 영감 원천 사실 풀잎 녹 출발 새 녹 출발 녹 녹 시적 제재 시 바다 표류 타이틀 수록 대부분 시 녹 연관 은 바다 유동 신비 주제 녹 고유 결합 상상력 확장 바다 표류 여정 시인 성숙 시인 변모 성장 과정 시인 연결 광대 비전 인간 자연 사이 상호 관계 토대 생태학 사유 상통 광대 발현 은 지리 경계 초월 자신 도시 지속 변형 염원 맥락 이 분별 개발 인해 질병 생태계 파괴 범죄 환경오염 사회 문제 만연 뉴욕 디스토피아 상기 고모라 간주 도시 생태학 상상력 전형 풀잎 이 뉴욕 단어 지양 녹 연유 토착 역설 도시 매 하타 경계 생태학 사유 포괄 광대 요체 해양 풍경 불가분 연관 시인 광대 비전 촉발 녹 의 상상력 정수 월트 휘트먼 해양 풍경 아일랜드 녹 바다 풀잎 바다 표류 광대 
12	2016	한양도성 축조 이래 물리 붕괴 재건 과정 성 안팎 경계 의미 변화 물리 측면 성벽 단면 역사 기억 적 한양도성 시간 침식 퇴적 산물 전 모습 복원 동대문 성곽 공원 과거 과거 집중 총체 기억 성곽 본질 배제 돈의문 터 뒤편 부지 개념 서대문 역사 문화공원 돈의문 박물관 마을 조성 점 문제 프로젝트 역사 복원 대립 이중성 시간 전이 과정 이해 도시 현재 유물 과거 공존 과거 현재성 본질 재현 플랫폼 개념 도입 디자인 도시 구성 요소 흔적 상생 포함 협력 공동체 제시 목적 
13	2016	도시 광장 미시 담론 
14	2016	로컬 범주 인류학 사회학 위치 차지 로컬 세계화 수반 글로벌 대안 상정 마을 공동체 대표 로컬 낭만 상상 글로벌 심화 시의 상실 범주 표상 로컬 범주 글 로컬 범주 변 주 글로벌 궁극 포섭 자유 로컬 중심 저항 상상 유럽 중심주의 근대 기획 한계 점 암시 논문 트랜스 내셔널 실천 횡단 소재 접근 인식론 기획 로컬 재구성 인가 논의 진행 로컬 시간 글로벌 이의 제기 재구성 로컬 글로벌 트랜스 내셔널 근대성 시간 
15	2016	논문 경관 계획 질 향상 조망 점 선정 초점 기존 문헌 도서 보고서 중심 제시 항목 중심 조망 점 설정 다수 제시 항목 정리 분류 통계 조망 점 선정 평가 항목 유출 계층 지표 상대 중요도 측정 조망 점 가중치 설정 우선순위 선정 결과 경관 시뮬레이션 구체 체계 계획 수립 전문가 설문 개 조망 점 설정 조망 점 평가 중 분류 항목 조망 공공 성의 순 조망 중 요시 조망 점 우선순위 순위 조망 점 시각 개방 순위 조망 대상 조망 양호 정도 순위 문화재 순위 역사 순위 공공장소 순위 관문 역할 순위 대상 조망 지형 순위 인구 거주 이용 순위 대상물 형태 주변 경관 파악 순위 생태 보호 지역 순위 하천 변 순위 시야 양각 부각 순위 조망 방향 순위 도로 순위 조망 점 대상물 간 거리 순위 평야 농경 지순 결과 향후 경관 계획 질 향상 체계 신뢰 분석 틀 경관 시뮬레이션 평가 검토 시 자료 활용 기대 
16	2016	지역 고유 문화 이야기 지역 관광 개발 소재 동화 마을 지역 고유 문화 이야기 활용 동화 소재 벽화 사업 추진 특징 낙후 마을 관광객 유입 지역 변화 목적 현상 주목 지역 주민 거주 관광지 의미 형성 현상 이해 분석 결과 관광객 동화 마을 인식 동화 마을 콘텐츠 상호작용 주체 능동 관광 경험 동화 마을 지역 고유 문화 이야기 기반 관광객 경험 축적 관광지 의미 형성 동화 마을 조성 초기 주민 관광객 간 갈등 존재 현재 내부인 외부인 간 접점 의미 구성 분석 지역 의역 사적 근거 확보 경우 관광객 요구 반영 충족 구성 의의 동화 마을 
17	2016	도시 재생 공공 자극 
18	2016	유기 건축 토포스 시퀀스 
19	2016	논문 근대 산업 사회 요구 제공 시설 주목 의미 역사 용도 땅 회복 주제 문화 거리 상대 소외 창 마을 주민 커뮤니티 시설 계획안 이다 
20	2016	개념 건축 계획 적용 설계 이다 계획 대상지 영국 런던 템스 강 강 이동 필요 강변 정박 사용 건축물 계획 진행 다음 무장 소성 비장 소성 이론 고찰 템스 강 특수 성격 분석 건축물 관계 건축물 형태 사용자 행위 가지 관점 각각 계획 개념 계획안 적용 계획 요소 정리 정리 계획 요소 건축 프로그램 구체 최종 결과물 영국 런던 템스 강 부유 복합 문화 계획안 제안 주목 건축물 인식 건축물 사용 사람 행위 상호 보완 형성 제안 계획안 건축물 위치 템스 강 물리 자연 물질 특성 건축물 최대한 수용 건축물 자체 은유 표현 내재 속성 구현 의미 
21	2016	
