ID	abstractauthor keywordsindex keywords 
1	world change doubt people change nature tourism mobilities globe create transformation destination regions change experience level proliferations tourism growth infrastructure destination areas visitor growth argue development tourism problems build environments people change tourism dimension concern impact change people life value need change compromise person community exposure tourism resident communities change locality transformations tourism reshape value therefore tourism plan level sustainability grind micke anggraini sustainability tourism 
2	railway station non-places society point transit nothing role station dispute station destroy community locate railway station communities customise station community world refute notion station process legitimisation ownership appropriation station environment communities transform station value recapture ltd.community placefullness placelessness railway transportation community community value community placefullness placelessness railway station railroad station community development empowerment analysis participation ownership railway transport kingdom 
3	border communities sonora mexico pivot copper mine 1900s mine region century exploitation area water air vegetation health century operations vitality towns copper memory tourism beg identity health opposition mine histories museums libraries sit monuments restaurants hotels mine stories ceremonies rituals festivals competitions pit tail pile mountaintop removals time reminders prosperity realities development plot line mine narratives power define mexico others sustainability preservation mine memory sustainability damage history article extent removal mine smelters towns identity sign health prosperity mine towns region borderlands.border region copper identity exploration mine negotiation process sustainability century north sonora state 
4	perspectives culture health house home/chez soi ahcs project implement cities randomize control trial effectiveness house model address homelessness people illnesses winnipeg homeless population efforts health lifestyle preferences daunt challenge intervention perspective winnipeg experience opportunity experience inform house health policy canada conduct ahcs project case experience project key informant project staff investigators exploratory work satisfaction ahcs intervention people city house experience factor shortage house erasure indigeneity landscape people home ltd.at home/chez canada health homelessness house winnipeghealth policy homelessness house policy population landscape health adult article attitude change city community factor distribution health care access home environment homelessness house people disease age experience preference system health service religion class environment psychology control house population group psychology randomize control trial support canada manitoba winnipeg adult homeless persons house humans male age population group support 
5	focus conceptualisation identity theory institutionalisation regions geographers framework regions identity transform practice individuals institutions level submit create choose concepts geography use identity explain possibilities techniques identity identity area level respondents patriotism towards regions copernicus identities identity framework framework territoriality slovakia 
6	framework relationship individuals engagement placemaking field involvement children age plan activities block neighborhoods cities children disadvantage neighborhoods action project post-study survey children plan activities neighborhoods techniques others planners designers plan process matter copyright locke science company participation attitude plan turkey turkey 
7	article advance discussion relationship people exile home belong refugees change notion home protract exile condition lead profound fuel home mean share attachment homeland desire give article argue home congolese refugees time home trigger remittances information home translate desire resettle idea home become stronger refugees home transcend time author oxford university refugees notion home protract belonginginformation refugee remittance kampala uganda 
8	mass media use image exception music movie score radio news media geographers media shape experience world lack type media drama tour explore help world drama series investigators realm sound mass media latter illustrate use example austin production city tourism springer media drama media wave earth sciences drama media acoustics media activity sound propagation telecommunication tourism development analysis 
9	victoria spowart exhibition speak project capture towns queensland landscape media project art identity connectedness order experience identity promotion article art highlight shift cohesion contribute development cultural author 
10	twofold frame methodology insights stem construction sit analyse brigham university jerusalem center use order conflict involve establishment fall categories "process" "values" "issues" reveal discord surround byu center value issue methodology typology stories stakeholders conflict decision adopt identity "sense" typology analysis dispute ways conflict royal society identity mormons conflict brigham university jerusalem center 
11	children people communities bushfires post-fires part bushfires mobile methods conjunction people age explore community analysis stories children people safety stability disaster experience home school work environments families factor decision communities others environment community members disruption interplay child parent grandparent support protection friends school communities support create environments children ltd.children community family safety school 
12	article reconstruction act sarajevo connect reshape identities creation residents residents architects planners residents variety process part article discuss framework process reconstruction city city analyze capital reshape part article sarajevans people city home reconfiguration part process mean home article argue ambivalence fluidity reshape settlements capital flow home-making persons reconstruction sarajevo 
13	climate change adaptation happen support date public solutions county staff community organizations date climate plan support barriers climate change impact increase adaptation measure move plan stage climate risk adaptation strategies community level climate change impact solutions synergies trade-offs mitigation adaptation climate nonclimate-policy choices people consequences adaptation choices motivation hindrance action adaptation experts capacity stakeholder engagement respond climate impact limit date gap program adaptation efforts advance b.v.adaptation capacity communication response climate disruption 
14	article opportunities motivation stewardship scale world reflect process individuals group depend modify value feel individuals group associate associations time interpret stewardship action scale circumstances people value reason condition deteriorate action attachment stewardship value example response climate change attitudes action action sustainability identities goals conservation development situations suggest stewardship foster transparent dialogue share value concern areas disagreement result increase mobility globalization individuals satisfy desire need opportunities scale discourse analysis concepts agreement property theory concepts sustainability world ltd.globalization scale stewardship sustainabilityarticle awareness climate change community cooperation discourse analysis development ecosystem management fishery change relation communication motivation priority journal aspect resource management aspect change 
