Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,house,,262,4,0.481621,0.53302,27842.582993
2,insecurity,,215,4,0.449166,0.500044,9036.935544
3,dimension,,313,4,0.513557,0.563426,38980.974115
4,lack,,218,4,0.46052,0.509671,11359.288932
5,people,,458,4,0.546103,0.607989,87337.930527
6,instability,,90,4,0.42398,0.456221,252.343592
7,experience,,436,3,0.540548,0.600976,87860.450175
8,family,,227,4,0.481985,0.527182,10763.156569
9,children,,208,4,0.469678,0.514811,24662.997993
10,life,,304,4,0.517167,0.564079,26916.091462
11,age,,170,4,0.483814,0.518731,18031.251381
12,health,,448,4,0.524829,0.593875,151189.20738
13,mobility,,174,4,0.467841,0.507449,3984.384333
14,policy,,237,4,0.504749,0.544476,18206.284701
15,assistance,,81,4,0.424639,0.455262,143.509306
16,work,,265,4,0.493296,0.541732,16251.810608
17,participation,,175,4,0.47837,0.515508,7636.521159
18,management,,305,4,0.513281,0.561814,61426.554639
19,value,,294,4,0.515356,0.561204,88693.559705
20,security,,90,4,0.436359,0.467242,344.428619
21,circumstances,,95,4,0.453318,0.482358,686.837607
22,insecurities,,79,4,0.41961,0.450209,103.252232
23,landscape,,418,3,0.541466,0.598362,158264.269432
24,migration,,275,4,0.490639,0.541732,109750.638991
25,plan,,267,4,0.506487,0.550836,30305.876173
26,relationships,,152,4,0.475398,0.509322,3988.218509
27,income,,86,4,0.42806,0.45927,667.0638
28,employment,,96,4,0.452139,0.481661,1310.628081
29,privacy,,80,4,0.424451,0.454914,140.341229
30,move,,110,4,0.445194,0.478263,836.592553
31,renters,,79,4,0.41961,0.450209,103.252232
32,safety,,110,4,0.449377,0.481835,2961.542546
33,respondents,,105,4,0.458423,0.488195,3958.013771
34,environment,,260,4,0.510133,0.551969,32484.479378
35,home,,317,4,0.502232,0.556804,51973.648929
36,restoration,,101,4,0.446129,0.477914,14863.443289
37,river,,145,4,0.464885,0.500392,23233.801943
38,considerations,,75,4,0.412373,0.443021,198.888273
39,development,,335,4,0.530652,0.57767,57186.339043
40,tourism,,369,4,0.507966,0.569568,187038.305858
41,community,,423,4,0.546103,0.601891,122488.5925
42,support,,182,4,0.49001,0.525004,12946.545521
43,analysis,,338,4,0.524253,0.57436,31175.661832
44,tourists,,98,4,0.444987,0.475954,9305.356122
45,change,,298,4,0.522535,0.566344,82407.395663
46,aspects,,179,4,0.48578,0.521476,4273.590293
47,residents,,204,3,0.506621,0.539902,33502.500326
48,policies,,64,4,0.442312,0.467939,301.725666
49,attachment,,185,4,0.49001,0.525527,11889.595151
50,care,,76,4,0.434181,0.46319,3570.426275
51,disabilities,,51,4,0.414159,0.44019,12.789757
