Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,health,,490,4,0.520734,0.578084,214896.041025
2,care,,187,4,0.461764,0.497194,40465.046183
3,development,,479,4,0.528697,0.581385,147845.671872
4,community,,655,3,0.557051,0.620642,274905.930105
5,change,,464,4,0.526272,0.577952,113521.332484
6,management,,400,4,0.511968,0.560717,78739.121024
7,environment,,388,4,0.512487,0.559429,48103.71444
8,students,,304,4,0.486977,0.531267,76326.832757
9,education,,274,4,0.489812,0.529286,60287.247591
10,identity,,561,4,0.5442,0.601195,255390.861107
11,landscape,,591,3,0.540587,0.603077,339855.02744
12,analysis,,489,4,0.533502,0.585545,107111.570596
13,climate,,122,4,0.455596,0.483987,6429.636059
14,experience,,529,4,0.540819,0.595054,162508.596534
15,service,,242,4,0.490764,0.525786,49747.838308
16,ecosystem,,157,4,0.463885,0.49518,18380.288696
17,use,,503,4,0.536109,0.588913,116179.100372
18,people,,542,4,0.542679,0.597828,151731.839943
19,student,,111,4,0.444366,0.473059,3061.829844
20,age,,263,4,0.49783,0.533347,42223.643057
21,adult,,128,4,0.469494,0.495345,2929.539146
22,capacity,,93,4,0.43615,0.464111,5050.757443
23,residents,,283,4,0.502589,0.539124,26544.813371
24,tourism,,293,4,0.49086,0.532554,78671.545624
25,article,,401,4,0.52376,0.568113,57066.639476
26,value,,364,4,0.507643,0.553123,87992.922862
27,life,,313,4,0.50571,0.545133,47924.268507
28,group,,364,4,0.520627,0.561311,52396.853109
29,program,,171,4,0.475688,0.505646,10517.539424
30,heritage,,235,4,0.478393,0.516079,49021.530757
31,conservation,,270,4,0.490764,0.529484,67360.778921
32,plan,,317,4,0.506522,0.54619,40756.27351
33,quality,,210,4,0.483247,0.516277,21118.124166
34,school,,198,4,0.47072,0.505547,29157.137609
35,impact,,219,4,0.481496,0.516178,20737.498562
36,city,,364,4,0.511035,0.555335,152990.340098
37,survey,,273,4,0.499308,0.535691,20035.252773
38,water,,177,4,0.462356,0.496434,46688.966259
39,area,,300,4,0.509076,0.545596,40793.612068
40,perception,,253,4,0.497634,0.531894,22810.442857
41,home,,281,4,0.493644,0.532851,76669.801893
42,land,,244,4,0.48371,0.521163,63915.728619
43,children,,210,4,0.472925,0.508716,62656.042791
44,result,,287,4,0.505305,0.541436,18235.353465
45,state,,260,4,0.504497,0.537408,35804.977873
46,factor,,303,4,0.500099,0.540181,32109.764665
47,grind,,61,4,0.428087,0.452853,4088.46212
48,women,,148,4,0.464397,0.494156,24515.183554
49,rehabilitation,,95,4,0.437283,0.465432,8732.223084
50,action,,126,4,0.461764,0.489336,3865.402871
51,nature,,231,4,0.492872,0.525753,29397.648971
52,share,,82,4,0.457744,0.480355,2330.455655
53,resource,,73,4,0.439951,0.464276,916.916231
54,differentiation,,18,4,0.389086,0.408875,219.131335
55,media,,236,4,0.48839,0.52331,83021.926351
56,policy,,253,4,0.499802,0.533314,28191.062769
57,support,,166,4,0.484639,0.511457,7709.77531
58,empowerment,,38,4,0.409873,0.432713,419.789845
59,safety,,135,4,0.455513,0.485572,11387.04221
60,communities,,275,3,0.501092,0.537044,24995.422794
61,perceptions,,207,4,0.491912,0.521923,16458.54266
62,house,,188,4,0.468971,0.502938,65860.300317
63,practice,,296,4,0.502589,0.540841,33285.614826
64,resilience,,99,4,0.447756,0.474775,4851.138133
65,sustainability,,180,4,0.465425,0.499175,23538.927566
66,work,,267,4,0.502789,0.537143,31102.250743
67,character,,87,4,0.437966,0.464474,2770.700587
68,cities,,147,4,0.476946,0.503368,10998.379286
69,focus,,245,4,0.499505,0.532059,11915.975092
70,resources,,115,4,0.46151,0.487652,6081.839087
71,attachment,,184,4,0.478665,0.509476,13933.707896
72,process,,264,4,0.498519,0.533908,28502.315684
73,role,,192,4,0.491912,0.519942,10240.19839
